Country,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA
Norway,Eliteserien,2024,28/06/2024,18:00,Brann,Stromsgodset,0,0,D,1.34,5.93,7.89,1.37,5.93,8.5,1.33,5.55,7.71,,,
Norway,Eliteserien,2024,28/06/2024,18:00,Odd,Kristiansund,1,1,D,2.13,3.88,3.26,2.17,3.9,3.32,2.07,3.73,3.18,,,
Norway,Eliteserien,2024,28/06/2024,18:00,Sarpsborg 08,Bodo/Glimt,1,2,A,5.02,4.59,1.61,5.1,4.75,1.62,4.81,4.46,1.58,,,
Norway,Eliteserien,2024,28/06/2024,20:15,Tromso,Molde,0,2,A,3.21,3.46,2.31,3.37,3.6,2.35,3.08,3.42,2.23,,,
Norway,Eliteserien,2024,30/06/2024,14:00,Viking,Rosenborg,4,2,H,1.65,4.57,4.68,1.66,4.57,4.75,1.63,4.32,4.51,,,
Norway,Eliteserien,2024,03/07/2024,18:00,Sandefjord,Tromso,1,2,A,2.25,3.52,3.28,2.39,3.55,3.28,2.22,3.4,3.13,,,
Norway,Eliteserien,2024,07/07/2024,13:30,Bodo/Glimt,Brann,5,1,H,1.86,3.97,4.07,1.92,4,4.1,1.82,3.84,3.89,,,
Norway,Eliteserien,2024,07/07/2024,16:00,HamKam,Tromso,0,0,D,2.36,3.35,3.21,2.38,3.52,3.21,2.28,3.32,3.04,,,
Norway,Eliteserien,2024,07/07/2024,16:00,Haugesund,Sarpsborg 08,1,2,A,2.63,3.44,2.76,2.65,3.6,2.85,2.5,3.4,2.69,,,
Norway,Eliteserien,2024,07/07/2024,16:00,KFUM Oslo,Viking,1,2,A,2.64,3.64,2.63,2.86,3.64,2.63,2.63,3.5,2.5,,,
Norway,Eliteserien,2024,07/07/2024,16:00,Molde,Lillestrom,3,0,H,1.48,5,6.23,1.5,5.1,6.5,1.43,4.81,6.16,,,
Norway,Eliteserien,2024,07/07/2024,18:15,Rosenborg,Odd,2,1,H,1.66,4.46,4.76,1.66,4.64,5,1.6,4.34,4.74,,,
Norway,Eliteserien,2024,08/07/2024,18:00,Kristiansund,Fredrikstad,3,1,H,4.82,3.87,1.75,5,4,1.83,4.52,3.71,1.74,,,
Norway,Eliteserien,2024,08/07/2024,18:00,Stromsgodset,Sandefjord,1,1,D,1.88,4.16,3.82,1.88,4.2,4.2,1.8,3.97,3.85,,,
Norway,Eliteserien,2024,12/07/2024,18:00,Sarpsborg 08,Rosenborg,4,1,H,2.34,4.02,2.81,2.38,4.23,2.85,2.28,3.93,2.71,2.4,4.1,2.92
Norway,Eliteserien,2024,13/07/2024,16:00,Fredrikstad,Molde,0,0,D,3.12,3.41,2.38,3.16,3.5,2.4,3,3.32,2.32,3.25,3.45,2.46
Norway,Eliteserien,2024,13/07/2024,16:00,Lillestrom,Stromsgodset,3,1,H,2.02,3.96,3.5,2.07,4,3.52,2.01,3.81,3.31,2.12,4,3.55
Norway,Eliteserien,2024,13/07/2024,16:00,Odd,HamKam,1,2,A,2.7,3.61,2.59,2.7,3.8,2.66,2.59,3.54,2.54,2.78,3.7,2.68
Norway,Eliteserien,2024,13/07/2024,16:00,Sandefjord,Bodo/Glimt,2,1,H,4.93,4.8,1.6,5.3,4.9,1.61,4.93,4.61,1.56,5.6,4.9,1.61
Norway,Eliteserien,2024,13/07/2024,16:00,Viking,Kristiansund,2,0,H,1.38,5.85,6.78,1.42,5.91,7,1.38,5.45,6.47,1.42,6,7.4
Norway,Eliteserien,2024,13/07/2024,18:15,Brann,Haugesund,1,1,D,1.3,6.05,9.35,1.36,6.1,9.6,1.3,5.73,8.63,1.34,6,10.5
